ID,AgeBracket,SexAtBirth,CurrentSex,Ethnicity,HighestEducation,HRQOL1,HRQOL2,PWB1,PWB2,PWB3,PWB4,PWB5,PWB6,PWB7,PWB8,PWB9,PWB10,PWB11,PWB12,PWB13,PWB14,PWB15,PWB16,PWB17,PWB18,WEMWBS1,WEMWBS2,WEMWBS3,WEMWBS4,WEMWBS5,WEMWBS6,WEMWBS7,WEMWBS8,WEMWBS9,WEMWBS10,WEMWBS11,WEMWBS12,WEMWBS13,WEMWBS14,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,SC0,SC1,SC2,SC3
39,18-33,Female,Female,Other British,Undergraduate Degree,Fair,0-5,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,A little disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,A little agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Some of the time,Often,Rarely,Often,Some of the time,Some of the time,Often,Some of the time,Often,Rarely,Often,All of the time,Some of the time,Some of the time,Strongly agree,Very strongly agree,Mildly agree,Mildly agree,Very strongly agree,Neutral,Mildly disagree,Strongly agree,Neutral,Very strongly agree,Mildly agree,Neutral,4,110,47,63
40,18-33,Male,Female,Other British,Undergraduate Degree,Very Good,0-5,A little agree,A little disagree,A little disagree,Somewhat agree,Strongly agree,A little agree,Strongly disagree,A little agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Some of the time,Often,Rarely,All of the time,None of the time,Some of the time,Often,Rarely,Often,Some of the time,All of the time,Some of the time,Often,Rarely,Mildly agree,Strongly agree,Strongly agree,Neutral,Neutral,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Neutral,Mildly agree,Very strongly agree,2,94,45,68
41,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,0-5,Somewhat agree,Somewhat agree,A little agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,A little disagree,Neither agree nor disagree,Somewhat agree,A little agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,A little disagree,Somewhat agree,Strongly agree,Some of the time,Often,Some of the time,Rarely,Rarely,Often,Some of the time,Some of the time,Some of the time,Some of the time,Often,Rarely,Often,Rarely,Mildly agree,Strongly agree,Mildly agree,Mildly disagree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,2,95,42,59
42,,,,,,Good,0-5,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,A little agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Often,Some of the time,Often,Some of the time,Often,Often,Often,Often,Some of the time,Some of the time,Often,Often,Often,Often,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,3,102,52,73
43,18-33,Female,Female,"Indian, Indian Scottish or Indian British","Postgraduate Qualification, Masters",Excellent,None,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,A little agree,Neither agree nor disagree,A little agree,A little agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Often,Often,Some of the time,Some of the time,Often,Often,Some of the time,All of the time,Often,Often,Some of the time,All of the time,Often,Often,Neutral,Strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Very strongly agree,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,1,103,54,76
45,18-33,Female,,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,0-5,Somewhat agree,Neither agree nor disagree,A little disagree,A little disagree,Neither agree nor disagree,A little agree,A little agree,A little agree,A little agree,A little disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,A little disagree,A little disagree,A little agree,A little agree,A little agree,None of the time,None of the time,None of the time,None of the time,None of the time,None of the time,None of the time,None of the time,None of the time,None of the time,Rarely,Rarely,None of the time,None of the time,Neutral,Mildly agree,Neutral,Mildly agree,Mildly disagree,Neutral,Mildly disagree,Mildly agree,Mildly agree,Strongly disagree,Neutral,Strongly agree,4,80,16,50
46,18-33,Female,Female,Other British,"Postgraduate Qualification, Masters",Good,Oct-15,Somewhat agree,A little disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,A little agree,Strongly disagree,Neither agree nor disagree,A little agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,A little disagree,Strongly agree,Somewhat agree,Some of the time,Often,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Often,Often,Often,Often,Mildly agree,Mildly agree,Strongly agree,Mildly agree,Neutral,Neutral,Neutral,Mildly agree,Mildly agree,Mildly agree,Very strongly agree,Mildly agree,3,100,47,60
47,49-64,Female,,Polish,PhD or other professional qualification,Excellent,None,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Often,Often,Often,Often,Often,Some of the time,Often,Often,Often,Often,Often,Often,Often,Often,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,1,118,55,77
48,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Fair,0-5,A little agree,A little disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,A little disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,A little agree,A little agree,Strongly agree,Rarely,Some of the time,Some of the time,Often,Rarely,Some of the time,Often,Some of the time,Rarely,Some of the time,Often,Some of the time,Often,Some of the time,Strongly disagree,Neutral,Strongly agree,Mildly agree,Very strongly disagree,Strongly agree,Mildly agree,Strongly agree,Mildly agree,Strongly disagree,Neutral,Strongly agree,4,82,43,52
50,49-64,Female,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Very Good,0-5,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,A little agree,A little agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,A little agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Often,Some of the time,Some of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Often,Often,Often,Often,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Strongly agree,Mildly disagree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,2,96,49,67
51,18-33,Female,,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Fair,Oct-15,A little disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,A little agree,A little disagree,A little disagree,A little disagree,A little agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,A little disagree,A little disagree,A little disagree,Neither agree nor disagree,A little agree,Some of the time,Rarely,Often,Rarely,Rarely,Some of the time,Some of the time,Some of the time,Rarely,Rarely,Some of the time,Often,Often,Rarely,Mildly agree,Very strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Mildly disagree,Neutral,Strongly agree,Strongly agree,Mildly agree,Strongly agree,4,80,39,62
53,18-33,Female,Female,Other (not listed),Undergraduate Degree,Excellent,None,Somewhat agree,A little agree,Somewhat disagree,A little agree,A little disagree,Strongly disagree,A little agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,A little disagree,Strongly disagree,Somewhat agree,A little agree,Often,Often,Often,Often,Often,Often,Often,Often,Rarely,Some of the time,Often,Some of the time,Often,Often,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Strongly agree,1,101,52,76
54,34-48,Male,,Other white ethnic group,Undergraduate Degree,Good,05-Oct,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,A little agree,Strongly agree,Strongly agree,A little disagree,Strongly disagree,A little disagree,Strongly agree,Strongly agree,Some of the time,Rarely,Some of the time,Some of the time,Rarely,Often,Often,Some of the time,Some of the time,Often,Often,All of the time,Often,Rarely,Very strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Very strongly agree,Mildly agree,Neutral,Neutral,Neutral,Very strongly agree,Neutral,Strongly agree,3,98,46,67
55,18-33,Female,Female,Other British,"Postgraduate Qualification, Masters",Good,0-5,A little agree,A little disagree,Neither agree nor disagree,Somewhat agree,A little disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,A little agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,A little disagree,Somewhat agree,Strongly disagree,A little disagree,Neither agree nor disagree,Some of the time,Some of the time,Rarely,Often,Some of the time,Some of the time,Some of the time,Rarely,Often,Rarely,Often,Often,Rarely,Often,Mildly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3,88,43,72
56,18-33,Female,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Good,05-Oct,Somewhat agree,A little agree,A little agree,A little agree,A little disagree,Neither agree nor disagree,Strongly disagree,A little agree,A little agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,A little agree,A little disagree,Somewhat agree,Some of the time,Rarely,Often,Some of the time,Some of the time,Rarely,Some of the time,Often,Some of the time,Often,Some of the time,Some of the time,Some of the time,Rarely,Mildly agree,Mildly agree,Mildly agree,Neutral,Mildly agree,Mildly disagree,Strongly disagree,Mildly agree,Mildly disagree,Mildly agree,Mildly agree,Neutral,3,97,42,51
57,18-33,Female,Female,Other British,"Postgraduate Qualification, Masters",Very Good,0-5,Somewhat disagree,A little disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,A little agree,A little agree,Somewhat disagree,Somewhat agree,Strongly agree,A little disagree,A little disagree,Neither agree nor disagree,A little agree,A little disagree,A little agree,Rarely,Rarely,Some of the time,Some of the time,Rarely,Rarely,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Rarely,Rarely,Mildly agree,Strongly agree,Neutral,Mildly disagree,Mildly agree,Mildly agree,Neutral,Mildly disagree,Neutral,Mildly agree,Strongly agree,Mildly agree,2,70,35,55
59,34-48,Female,,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,None,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,A little disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Some of the time,Some of the time,All of the time,All of the time,All of the time,Often,Often,Often,Often,All of the time,Often,Some of the time,All of the time,All of the time,Neutral,Strongly agree,Neutral,Strongly disagree,Mildly disagree,Mildly agree,Neutral,Very strongly disagree,Strongly agree,Neutral,Very strongly disagree,Strongly agree,2,106,59,46
60,18-33,Female,,Other British,,Fair,25-30,A little agree,A little agree,A little disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,A little disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,A little disagree,Somewhat agree,Somewhat agree,A little agree,Rarely,None of the time,None of the time,None of the time,None of the time,Some of the time,None of the time,None of the time,Rarely,Rarely,None of the time,Some of the time,Rarely,None of the time,Mildly agree,Mildly agree,Strongly agree,Neutral,Mildly agree,Neutral,Mildly disagree,Mildly agree,Neutral,Neutral,Mildly agree,Strongly agree,4,62,22,56
61,34-48,Male,,Other British,Undergraduate Degree,Very Good,None,Somewhat agree,Somewhat agree,Somewhat agree,A little agree,A little disagree,Neither agree nor disagree,A little agree,Somewhat agree,A little agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,A little disagree,A little agree,Somewhat disagree,Somewhat agree,Somewhat agree,Often,Some of the time,Some of the time,Some of the time,Rarely,Often,Often,Some of the time,Some of the time,Some of the time,Often,Often,Often,Some of the time,Strongly agree,Strongly agree,Neutral,Mildly agree,Mildly agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Mildly agree,Strongly agree,2,96,47,63
62,18-33,Female,Female,"Arab, Arab Scottish or Arab British",Undergraduate Degree,Very Good,0-5,Somewhat agree,Somewhat agree,A little agree,Neither agree nor disagree,A little agree,Somewhat disagree,A little disagree,A little agree,A little agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,A little agree,Neither agree nor disagree,Some of the time,None of the time,Often,Rarely,Often,Often,Some of the time,Rarely,Often,Some of the time,Some of the time,Some of the time,Often,Some of the time,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Neutral,Mildly agree,Neutral,Strongly agree,Mildly agree,Strongly agree,Strongly agree,2,92,43,65
